fdc_id,description,protein_per_100g
2262074,"Almond butter, creamy",20.8
2262075,"Flaxseed, ground",18.0
2346384,"Cottage cheese, full fat, large or small curd",11.6
2346385,"Cream cheese, full fat, block",5.79
2346386,"Cream, heavy",2.02
2346387,"Cream, sour, full fat",3.07
2346388,"Lettuce, iceberg, raw",0.742
2346389,"Lettuce, romaine, green, raw",0.977
2346390,"Lettuce, leaf, red, raw",0.883
2346391,"Lettuce, leaf, green, raw",1.09
2346392,"Nuts, pine nuts, raw",15.7
2346393,"Nuts, almonds, whole, raw",21.5
2346394,"Nuts, walnuts, English, halves, raw",14.6
2346395,"Nuts, pecans, halves, raw",9.96
2346396,"Oats, whole grain, rolled, old fashioned",13.5
2346397,"Oats, whole grain, steel cut",12.5
2346398,"Pineapple, raw",0.461
2346399,"Cherries, sweet, dark red, raw",1.04
2346400,"Beans, snap, green, raw",1.97
2346401,"Potatoes, russet, without skin, raw",2.27
2346402,"Potatoes, red, without skin, raw",2.06
2346403,"Potatoes, gold, without skin, raw",1.81
2346404,"Sweet potatoes, orange flesh, without skin, raw",1.58
2346405,"Celery, raw",0.492
2346406,"Cucumber, with peel, raw",0.625
2346407,"Cabbage, green, raw",0.961
2346408,"Cabbage, red, raw",1.24
2346409,"Strawberries, raw",0.641
2346410,"Raspberries, raw",1.01
2346411,"Blueberries, raw",0.703
2346412,"Grapes, red, seedless, raw",0.914
2346413,"Grapes, green, seedless, raw",0.899
2346414,"Applesauce, unsweetened, with added vitamin C",0.273
2512371,"Flour, amaranth",13.2
2512372,"Flour, quinoa",11.9
2512373,"Flour, sorghum",8.27
2512374,"Flour, buckwheat",8.88
2512375,"Flour, rye",8.4
2512376,"Flour, barley",8.72
2512377,"Flour, cassava",0.918
2512378,"Buckwheat, whole grain",11.1
2512379,"Millet, whole grain",10.0
2512380,"Rice, brown, long grain, unenriched, raw",7.25
2512381,"Rice, white, long grain, unenriched, raw",7.04
2514743,"Beef, ground, 90% lean meat / 10% fat, raw",18.2
2514744,"Beef, ground, 80% lean meat / 20% fat, raw",17.5
2514745,"Pork, ground, raw",17.8
2514746,"Chicken, ground, with additives, raw",17.9
2514747,"Turkey, ground, 93% lean/ 7% fat, raw",17.3
2515373,"Nuts, brazilnuts, raw",15.0
2515374,"Nuts, cashew nuts, raw",17.4
2515375,"Nuts, hazelnuts or filberts, raw",13.5
2515376,"Peanuts, raw",23.2
2515377,"Flour, chestnut",5.29
2515378,"Nuts, macadamia nuts, raw",7.79
2515379,"Nuts, pistachio nuts, raw",20.5
2515380,"Seeds, pumpkin seeds (pepitas), raw",29.9
2515381,"Seeds, sunflower seed, kernel, raw",18.9
2515382,"Flour, coconut",16.1
2644281,"Beans, cannellini, dry",21.6
2644282,"Chickpeas, (garbanzo beans, bengal gram), dry",21.3
2644283,"Lentils, dry",23.6
2644284,"Blackeye pea, dry",21.2
2644285,"Beans, black, canned, sodium added, drained and rinsed",6.91
2644286,"Beans, navy, canned, sodium added, drained and rinsed",6.57
2644287,"Beans, cannellini, canned, sodium added, drained and rinsed",7.41
2644288,"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",7.02
2644289,"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",7.8
2644290,"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",7.31
2644291,"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",4.73
2644292,"Beans, pinto, canned, sodium added, drained and rinsed",6.69
2644293,"Blackeye pea, canned, sodium added, drained and rinsed",6.92
2644294,"Beans, great northern, canned, sodium added, drained and rinsed",7.03
2646168,"Pork, loin, boneless, raw",21.1
2646169,"Pork, loin, tenderloin, boneless, raw",21.6
2646170,"Chicken, breast, boneless, skinless, raw",22.5
2646171,"Chicken, thigh, boneless, skinless, raw",18.6
2646172,"Beef, ribeye, steak, boneless, choice, raw",18.7
2646173,"Beef, round, top round, boneless, choice, raw",21.5
2646174,"Beef, chuck, roast, boneless, choice, raw",18.4
2646175,"Beef, flank, steak, boneless, choice, raw",20.1
2647437,"Yogurt, plain, nonfat",4.23
2647438,"Cheese, monterey jack, solid",22.6
2647439,"Cheese, pasteurized process cheese food or product, American, singles",15.6
2647440,"Cheese, provolone, sliced",23.5
2647441,"Cheese, oaxaca, solid",22.1
2647442,"Cheese, queso fresco, solid",18.9
2647443,"Cheese, cotija, solid",23.8
2684440,"Fish, salmon, sockeye, wild caught, raw",22.3
2684441,"Fish, salmon, Atlantic, farm raised, raw",20.3
2684442,"Fish, tilapia, farm raised, raw",19.0
2684443,"Crustaceans, shrimp, farm raised, raw",15.6
2684444,"Fish, cod, Atlantic, wild caught, raw",16.1
2684445,"Fish, catfish, farm raised, raw",16.5
2684446,"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",18.6
2685568,"Squash, summer, green, zucchini, includes skin, raw",0.984
2685569,"Squash, summer, yellow, includes skin, raw",0.891
2685570,"Squash, winter, butternut, raw",1.15
2685571,"Squash, winter, acorn, raw",1.25
2685572,"Cabbage, bok choy, raw",1.02
2685573,"Cauliflower, raw",1.64
2685574,"Collards, raw",2.97
2685575,"Brussels sprouts, raw",3.98
2685576,"Beets, raw",1.69
2685577,"Eggplant, raw",0.852
2685578,"Tomatoes, whole, canned, solids and liquids, with salt added",0.868
2685579,"Tomato, sauce, canned, with salt added",1.35
2685580,"Tomato, paste, canned, without salt added",4.23
2685581,"Tomatoes, crushed, canned",1.44
2685582,"Tomato, puree, canned",1.58
2710815,"Apricot, with skin, raw",0.961
2710816,"Melons, honeydew, raw",0.531
2710817,"Plantains, ripe, raw",1.16
2710818,"Plantains, underripe, raw",1.23
2710819,"Chia seeds, dry, raw",17.0
2710820,"Bulgur, dry, raw",11.8
2710821,"Wild rice, dry, raw",12.8
2710822,"Arugula, baby, raw",1.65
2710823,"Asparagus, green, raw",1.44
2710824,"Avocado, Hass, peeled, raw",1.81
2710825,"Rice, black, unenriched, raw",7.57
2710826,"Corn, sweet, yellow and white kernels,  fresh, raw",2.79
2710827,"Einkorn, grain, dry, raw",15.1
2710828,"Farro, pearled, dry, raw",12.6
2710829,"Fonio, grain, dry, raw",7.17
2710830,"Khorasan, grain, dry, raw",14.8
2710831,"Kiwifruit (kiwi), green, peeled, raw",1.01
2710832,"Mandarin, seedless, peeled, raw",1.04
2710833,"Mango, Tommy Atkins, peeled, raw",0.562
2710834,"Mango, Ataulfo, peeled, raw",0.688
2710835,"Corn flour, masa harina, white or yellow, dry, raw",7.56
2710836,"Pear, Anjou, green, with skin, raw",0.312
2710837,"Plum, black, with skin, raw",0.578
2710838,"Rice, red, unenriched, dry, raw",8.56
2710839,"Sorghum bran, white, unenriched, dry, raw",11.2
2710840,"Sorghum flour, white, pearled, unenriched, dry, raw",10.2
2710841,"Sorghum grain, white, pearled, unenriched, dry, raw",10.2
2710842,"Sorghum, whole grain, white, dry, raw",10.1
2710843,"Plantains, overripe, raw",1.17
2727566,"Chicken, drumstick, meat and skin, raw",18.4
2727567,"Chicken, thigh, meat and skin, raw",17.1
2727568,"Chicken, wing, meat and skin, raw",18.4
2727569,"Chicken, breast, meat and skin, raw",21.4
2727570,"Lamb, ground, raw",17.5
2727571,"Bison, ground, raw",19.9
